sentence,label,length,word_list
smen men flous lahram,0,4,"['smen', 'men', 'flous', 'lahram']"
plz j aime wlad el 8alya,1,6,"['plz', 'j', 'aime', 'wlad', 'el', '8alya']"
inchala zina,1,2,"['inchala', 'zina']"
ne9sin pivot kif sokari,1,4,"['ne9sin', 'pivot', 'kif', 'sokari']"
mahlek nidhal je t amie,1,5,"['mahlek', 'nidhal', 'je', 't', 'amie']"
bye bye ca,0,3,"['bye', 'bye', 'ca']"
a7laaa klaay,1,2,"['a7laaa', 'klaay']"
top du top wallah,1,4,"['top', 'du', 'top', 'wallah']"
style jenjoon reggae genre kafon mouch hiphop,1,7,"['style', 'jenjoon', 'reggae', 'genre', 'kafon', 'mouch', 'hiphop']"
m3allem rabi m3ek,1,3,"['m3allem', 'rabi', 'm3ek']"
you you nik omkoo,0,4,"['you', 'you', 'nik', 'omkoo']"
dacosta la7sane,0,2,"['dacosta', 'la7sane']"
chbik y a slim lreh,1,5,"['chbik', 'y', 'a', 'slim', 'lreh']"
bravo slouma kolna wled tes3a,1,5,"['bravo', 'slouma', 'kolna', 'wled', 'tes3a']"
nchalla rabi ya7fadha w y5aliha elbouha w mamatha akid,1,9,"['nchalla', 'rabi', 'ya7fadha', 'w', 'y5aliha', 'elbouha', 'w', 'mamatha', 'akid']"
hhhhh mala khra ye weldi zeyed m3ak,0,7,"['hhhhh', 'mala', 'khra', 'ye', 'weldi', 'zeyed', 'm3ak']"
tafeh iposti fi capture we7ed tafeh,0,6,"['tafeh', 'iposti', 'fi', 'capture', 'we7ed', 'tafeh']"
e5dem alaaa rouhèk lkolnaa m3aakk,1,5,"['e5dem', 'alaaa', 'rouhèk', 'lkolnaa', 'm3aakk']"
houa zaim winti kalleb,1,4,"['houa', 'zaim', 'winti', 'kalleb']"
slouma i5demmm w rana m3akkkk,1,5,"['slouma', 'i5demmm', 'w', 'rana', 'm3akkkk']"
adorable khaoula,1,2,"['adorable', 'khaoula']"
bravo le7keya wadh7a,1,3,"['bravo', 'le7keya', 'wadh7a']"
mala trma,1,2,"['mala', 'trma']"
thablii manoulaa rabi yahfdk,1,4,"['thablii', 'manoulaa', 'rabi', 'yahfdk']"
nn la li tanzoul laaaaaaaaaaaaaaaaaaaaaa,0,5,"['nn', 'la', 'li', 'tanzoul', 'laaaaaaaaaaaaaaaaaaaaaa']"
bravooo khawla,1,2,"['bravooo', 'khawla']"
hhhhhhhhhh dharbèn lou8a,0,3,"['hhhhhhhhhh', 'dharbèn', 'lou8a']"
oxigen gl9w mask je veux le tester,1,7,"['oxigen', 'gl9w', 'mask', 'je', 'veux', 'le', 'tester']"
bravo hedha awel kaff lel 7laybi,1,6,"['bravo', 'hedha', 'awel', 'kaff', 'lel', '7laybi']"
thé boss and presedent,1,4,"['thé', 'boss', 'and', 'presedent']"
hhhhhhh merci wb3ad bech da5lna net5dmou,1,6,"['hhhhhhh', 'merci', 'wb3ad', 'bech', 'da5lna', 'net5dmou']"
abléd ra2iis jam3ia fel 3allém hahahahaha,1,6,"['abléd', 'ra2iis', 'jam3ia', 'fel', '3allém', 'hahahahaha']"
bonne chance w rabi m3ana,1,5,"['bonne', 'chance', 'w', 'rabi', 'm3ana']"
1000000 respect,1,2,"['1000000', 'respect']"
une bombe mashalah,1,3,"['une', 'bombe', 'mashalah']"
n3ychou lyl,1,2,"['n3ychou', 'lyl']"
3asba likk ya 9a7ba,0,4,"['3asba', 'likk', 'ya', '9a7ba']"
maaalaaa tiitree ya zebyyy,1,4,"['maaalaaa', 'tiitree', 'ya', 'zebyyy']"
bravo ya m3alim,1,3,"['bravo', 'ya', 'm3alim']"
t3ich ya si slim,1,4,"['t3ich', 'ya', 'si', 'slim']"
svvvvvvvpppppppp admiiiinnnnnnn svvvpppppp,1,3,"['svvvvvvvpppppppp', 'admiiiinnnnnnn', 'svvvpppppp']"
dima m3a ca,1,3,"['dima', 'm3a', 'ca']"
sem7a yaser,1,2,"['sem7a', 'yaser']"
afdghal tounis aljazayer akraou ettarikh ya johel,0,7,"['afdghal', 'tounis', 'aljazayer', 'akraou', 'ettarikh', 'ya', 'johel']"
rabby yweffek,1,2,"['rabby', 'yweffek']"
9dech thchoi fih 3la ch3eb,0,5,"['9dech', 'thchoi', 'fih', '3la', 'ch3eb']"
alh yar7emha,1,2,"['alh', 'yar7emha']"
sanfooooora sa7biii,1,2,"['sanfooooora', 'sa7biii']"
rabbi m3ak wla tchamathom fik,1,5,"['rabbi', 'm3ak', 'wla', 'tchamathom', 'fik']"
bravo wallah enplus ktaltni bel dhe7k,1,6,"['bravo', 'wallah', 'enplus', 'ktaltni', 'bel', 'dhe7k']"
bdina nfidou zzzzzzzzzzzzzzzzzzzzzzz7777777777777777777777777,0,3,"['bdina', 'nfidou', 'zzzzzzzzzzzzzzzzzzzzzzz7777777777777777777777777']"
3omri marit katheb 9ad slim riahi,0,6,"['3omri', 'marit', 'katheb', '9ad', 'slim', 'riahi']"
ehkilna lfri9i chnwa jdid,0,4,"['ehkilna', 'lfri9i', 'chnwa', 'jdid']"
bjr ya patron,1,3,"['bjr', 'ya', 'patron']"
slim walla yfases fehoum hahahahahahahahah x,0,6,"['slim', 'walla', 'yfases', 'fehoum', 'hahahahahahahahah', 'x']"
3idkom mabrouk mille bravo,1,4,"['3idkom', 'mabrouk', 'mille', 'bravo']"
slouma inchallah 3amik mabrouk,1,4,"['slouma', 'inchallah', '3amik', 'mabrouk']"
b1 dit w chmetta f l 3eyenne ca,0,8,"['b1', 'dit', 'w', 'chmetta', 'f', 'l', '3eyenne', 'ca']"
mabrouk coupe arabe,1,3,"['mabrouk', 'coupe', 'arabe']"
aïcha gorgi ena weld essabbaghin ama rani mkachekh,0,8,"['aïcha', 'gorgi', 'ena', 'weld', 'essabbaghin', 'ama', 'rani', 'mkachekh']"
mella rikh,0,2,"['mella', 'rikh']"
1 48 lesbienne zeda hhhhh,0,5,"['1', '48', 'lesbienne', 'zeda', 'hhhhh']"
bon voyages si slim,1,4,"['bon', 'voyages', 'si', 'slim']"
e3lina w e3lik nchallah,0,4,"['e3lina', 'w', 'e3lik', 'nchallah']"
allah yarhamha w na3amha,1,4,"['allah', 'yarhamha', 'w', 'na3amha']"
ya3tik wallah asba ala manther,0,5,"['ya3tik', 'wallah', 'asba', 'ala', 'manther']"
slim riahi president 2019,0,4,"['slim', 'riahi', 'president', '2019']"
al7oukouma alkatarya t5af men wlad leblad,0,6,"['al7oukouma', 'alkatarya', 't5af', 'men', 'wlad', 'leblad']"
congratulation si slim,1,3,"['congratulation', 'si', 'slim']"
ca daoula 3ala rouss atta7ana,1,5,"['ca', 'daoula', '3ala', 'rouss', 'atta7ana']"
ahsen influencer bravoooo,1,3,"['ahsen', 'influencer', 'bravoooo']"
rabi yichfih 3loulou amin,1,4,"['rabi', 'yichfih', '3loulou', 'amin']"
kol 3am wenti hayy bkheir president,1,6,"['kol', '3am', 'wenti', 'hayy', 'bkheir', 'president']"
a9wa la9ta,1,2,"['a9wa', 'la9ta']"
hhhhh karim 9ema,1,3,"['hhhhh', 'karim', '9ema']"
ttfarj si slim,0,3,"['ttfarj', 'si', 'slim']"
faire attention de cette mafia ok,0,6,"['faire', 'attention', 'de', 'cette', 'mafia', 'ok']"
ahlemna mhitha bilkidib mta3ik fdahitna hintna,0,6,"['ahlemna', 'mhitha', 'bilkidib', 'mta3ik', 'fdahitna', 'hintna']"
chesmha brabi leghneya li tabda melloul,1,6,"['chesmha', 'brabi', 'leghneya', 'li', 'tabda', 'melloul']"
nar nar,1,2,"['nar', 'nar']"
khyyyyyttt khyyyyyttt khyyyyyyytttttt chay i3aaaayeffffff,0,5,"['khyyyyyttt', 'khyyyyyttt', 'khyyyyyyytttttt', 'chay', 'i3aaaayeffffff']"
mais élmou3artha marthatich tchèrik li8ayè fi nafis ya39oub,0,8,"['mais', 'élmou3artha', 'marthatich', 'tchèrik', 'li8ayè', 'fi', 'nafis', 'ya39oub']"
pierre lechantre a resilié son contrat avec elarabi quatari,0,9,"['pierre', 'lechantre', 'a', 'resilié', 'son', 'contrat', 'avec', 'elarabi', 'quatari']"
5ritou fihhhhhhhh,0,2,"['5ritou', 'fihhhhhhhh']"
tous ça pour sauver c cow boy,1,7,"['tous', 'ça', 'pour', 'sauver', 'c', 'cow', 'boy']"
bravo najla,1,2,"['bravo', 'najla']"
3ala aÿ nowab tatahadaton fok hhhh,0,6,"['3ala', 'aÿ', 'nowab', 'tatahadaton', 'fok', 'hhhh']"
rakzou fi 23,0,3,"['rakzou', 'fi', '23']"
hlowa big up man,1,4,"['hlowa', 'big', 'up', 'man']"
kifeh ena7i l vu belehi,0,5,"['kifeh', 'ena7i', 'l', 'vu', 'belehi']"
atfeh fanana fi touness,0,4,"['atfeh', 'fanana', 'fi', 'touness']"
3ami slim tbarkalla ychabihlik yesser,1,5,"['3ami', 'slim', 'tbarkalla', 'ychabihlik', 'yesser']"
klay naklek waldik ya baya boumayee mar7amchi,0,7,"['klay', 'naklek', 'waldik', 'ya', 'baya', 'boumayee', 'mar7amchi']"
izebi babagaaiou t3aoidou fil klem,0,5,"['izebi', 'babagaaiou', 't3aoidou', 'fil', 'klem']"
slim ya m3adhebhom,1,3,"['slim', 'ya', 'm3adhebhom']"
wtf hethia tetsamma ser9a,0,4,"['wtf', 'hethia', 'tetsamma', 'ser9a']"
j ai simplement pas confiance,0,5,"['j', 'ai', 'simplement', 'pas', 'confiance']"
batel el rap rak kabitlou sa3dou,0,6,"['batel', 'el', 'rap', 'rak', 'kabitlou', 'sa3dou']"
sanfour tesra9 f les instruts barcha sereg,0,7,"['sanfour', 'tesra9', 'f', 'les', 'instruts', 'barcha', 'sereg']"
sre9 clip hmza nvst d capo chouf y hamza,0,9,"['sre9', 'clip', 'hmza', 'nvst', 'd', 'capo', 'chouf', 'y', 'hamza']"
7ata 5wetha ml9och feha l5ir mouch msta3rfa behoum,0,8,"['7ata', '5wetha', 'ml9och', 'feha', 'l5ir', 'mouch', 'msta3rfa', 'behoum']"
elakliya kolha bjanbek matrjach ltali snin dayma bravo,1,8,"['elakliya', 'kolha', 'bjanbek', 'matrjach', 'ltali', 'snin', 'dayma', 'bravo']"
narvo sanfour tooooop,1,3,"['narvo', 'sanfour', 'tooooop']"
menn fadlek arfaaa alina edholm fi soussa,1,7,"['menn', 'fadlek', 'arfaaa', 'alina', 'edholm', 'fi', 'soussa']"
fe9tou bih tawa fdha7touna yafdhe7kom taraji dawla,0,7,"['fe9tou', 'bih', 'tawa', 'fdha7touna', 'yafdhe7kom', 'taraji', 'dawla']"
benour 9a7boun 3alibiya,0,3,"['benour', '9a7boun', '3alibiya']"
sadda9ni titre w klem ki sormek tefeha,0,7,"['sadda9ni', 'titre', 'w', 'klem', 'ki', 'sormek', 'tefeha']"
fadhhouh miskin,0,2,"['fadhhouh', 'miskin']"
lem3almia lkol y7ebou dwla trajia ki slim raya7i hhhhhhh,1,9,"['lem3almia', 'lkol', 'y7ebou', 'dwla', 'trajia', 'ki', 'slim', 'raya7i', 'hhhhhhh']"
miboune m3andnech 97abe tghani,0,4,"['miboune', 'm3andnech', '97abe', 'tghani']"
ham thalmo jouratna tah fahom rabi,1,6,"['ham', 'thalmo', 'jouratna', 'tah', 'fahom', 'rabi']"
ti chnowa tawa,0,3,"['ti', 'chnowa', 'tawa']"
nharek azyen ya m3allem,1,4,"['nharek', 'azyen', 'ya', 'm3allem']"
nhebou djabou yarrjaa3,1,3,"['nhebou', 'djabou', 'yarrjaa3']"
tozz fihom ya boss,1,4,"['tozz', 'fihom', 'ya', 'boss']"
sanfara le bonne raper,1,4,"['sanfara', 'le', 'bonne', 'raper']"
madmk 8anit m3a lmnayk hethaa sayee alik,0,7,"['madmk', '8anit', 'm3a', 'lmnayk', 'hethaa', 'sayee', 'alik']"
alah ya ra7me,1,3,"['alah', 'ya', 'ra7me']"
buz mta3 zok om 3am 60,0,6,"['buz', 'mta3', 'zok', 'om', '3am', '60']"
thawra jebha lef9ir w istfed minha li4ni,0,7,"['thawra', 'jebha', 'lef9ir', 'w', 'istfed', 'minha', 'li4ni']"
hana nestannou,0,2,"['hana', 'nestannou']"
kol echourafaa maak ya marzougui,1,5,"['kol', 'echourafaa', 'maak', 'ya', 'marzougui']"
trop mingon,1,2,"['trop', 'mingon']"
saha bro haja ta3mel el kif nchallah rabi ywaf9ek,1,9,"['saha', 'bro', 'haja', 'ta3mel', 'el', 'kif', 'nchallah', 'rabi', 'ywaf9ek']"
rabi yechfiohm,1,2,"['rabi', 'yechfiohm']"
n9oulo responsable,1,2,"['n9oulo', 'responsable']"
8enya mezyna bercha,1,3,"['8enya', 'mezyna', 'bercha']"
alah akbar,1,2,"['alah', 'akbar']"
slouma echa3b m3aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaak la toubeli,1,5,"['slouma', 'echa3b', 'm3aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaak', 'la', 'toubeli']"
fa9o bye mazalo 7abini n9dr,1,5,"['fa9o', 'bye', 'mazalo', '7abini', 'n9dr']"
ti kene mchetou 7eletouha ejem3iye 5er hahahahah,1,7,"['ti', 'kene', 'mchetou', '7eletouha', 'ejem3iye', '5er', 'hahahahah']"
walah 9ad rou7ou 5ir menek kelmet 7a9,1,7,"['walah', '9ad', 'rou7ou', '5ir', 'menek', 'kelmet', '7a9']"
chbihom 3lk wtffffff plateau mridh,0,5,"['chbihom', '3lk', 'wtffffff', 'plateau', 'mridh']"
rabi meaak we inchallah inaouer hakkik,1,6,"['rabi', 'meaak', 'we', 'inchallah', 'inaouer', 'hakkik']"
wlh bkit,0,2,"['wlh', 'bkit']"
t7isik zidt zyint ba3d lolada,1,5,"['t7isik', 'zidt', 'zyint', 'ba3d', 'lolada']"
inchala ejey 5ir,1,3,"['inchala', 'ejey', '5ir']"
hhh etorbia bidha ta7ki,0,4,"['hhh', 'etorbia', 'bidha', 'ta7ki']"
rabi ychfehaaaaa oh rabi maahom lzoz chy ys5ff,1,8,"['rabi', 'ychfehaaaaa', 'oh', 'rabi', 'maahom', 'lzoz', 'chy', 'ys5ff']"
enti yeser 3leya ama,0,4,"['enti', 'yeser', '3leya', 'ama']"
bravo wlh maa vipa dima fama jdid,1,7,"['bravo', 'wlh', 'maa', 'vipa', 'dima', 'fama', 'jdid']"
inchallah martou mé tghirich rabbi maah,1,6,"['inchallah', 'martou', 'mé', 'tghirich', 'rabbi', 'maah']"
m3allééééém slouma,1,2,"['m3allééééém', 'slouma']"
a3lin w a3lik bi 5ir,1,5,"['a3lin', 'w', 'a3lik', 'bi', '5ir']"
ayen3em sloma howa el7el,1,4,"['ayen3em', 'sloma', 'howa', 'el7el']"
3idek mabrouk we kol 3am wenti bekir ya ma3alem,1,9,"['3idek', 'mabrouk', 'we', 'kol', '3am', 'wenti', 'bekir', 'ya', 'ma3alem']"
hhhh ya 3chiri mourino w chouf chouf tsalkouha,1,8,"['hhhh', 'ya', '3chiri', 'mourino', 'w', 'chouf', 'chouf', 'tsalkouha']"
rabi m3aah l nchalah yarja3 labes,1,6,"['rabi', 'm3aah', 'l', 'nchalah', 'yarja3', 'labes']"
svp 5alih kif ma howa,0,5,"['svp', '5alih', 'kif', 'ma', 'howa']"
by association tunisienne des femmes démocrates page officielle,1,8,"['by', 'association', 'tunisienne', 'des', 'femmes', 'démocrates', 'page', 'officielle']"
rabbi yzidek enchallah mel 7lel,1,5,"['rabbi', 'yzidek', 'enchallah', 'mel', '7lel']"
bravo bravooo walahi ensséne rajél rajélll,1,6,"['bravo', 'bravooo', 'walahi', 'ensséne', 'rajél', 'rajélll']"
amma rahou cha3b kemel yalzmou rad i3tibar,1,7,"['amma', 'rahou', 'cha3b', 'kemel', 'yalzmou', 'rad', 'i3tibar']"
alah yzazik 100000005ir ya 7abib lmalayin il8alia,1,7,"['alah', 'yzazik', '100000005ir', 'ya', '7abib', 'lmalayin', 'il8alia']"
perfect job,1,2,"['perfect', 'job']"
arrêtez vos balivernes,0,3,"['arrêtez', 'vos', 'balivernes']"
ma7lak bb,1,2,"['ma7lak', 'bb']"
inchallah 1000 éssna,1,3,"['inchallah', '1000', 'éssna']"
inchalahhhh mich bil klemmm barkkkkk,0,5,"['inchalahhhh', 'mich', 'bil', 'klemmm', 'barkkkkk']"
chwia haka chwia hakkaa en une seule photo,1,8,"['chwia', 'haka', 'chwia', 'hakkaa', 'en', 'une', 'seule', 'photo']"
mais vous avez raison pourquoi tu justifies,1,7,"['mais', 'vous', 'avez', 'raison', 'pourquoi', 'tu', 'justifies']"
3oumra makboula y a slouma,1,5,"['3oumra', 'makboula', 'y', 'a', 'slouma']"
slouma ahna dima m3ak,1,4,"['slouma', 'ahna', 'dima', 'm3ak']"
mabrouk yousr un garçon yetraba f 3ezkoum nhbk,1,8,"['mabrouk', 'yousr', 'un', 'garçon', 'yetraba', 'f', '3ezkoum', 'nhbk']"
bsara7a chay ybaki kinchoufou bledna fel 7ala hethi,0,8,"['bsara7a', 'chay', 'ybaki', 'kinchoufou', 'bledna', 'fel', '7ala', 'hethi']"
rabi m3ahom tahaya l ness tunis,1,6,"['rabi', 'm3ahom', 'tahaya', 'l', 'ness', 'tunis']"
sayeb alik ya m3alemm me chleyekk,0,6,"['sayeb', 'alik', 'ya', 'm3alemm', 'me', 'chleyekk']"
chya3ml ekel mkacha5 wrah loooool,1,5,"['chya3ml', 'ekel', 'mkacha5', 'wrah', 'loooool']"
ynaww7ou 3ala zboubna,0,3,"['ynaww7ou', '3ala', 'zboubna']"
arnab arnab arnab arnouuuuuuuuuuuuuuuuub hhhhhhhhhhhhhhhhhhhhhh glagg ya3meél walh,1,8,"['arnab', 'arnab', 'arnab', 'arnouuuuuuuuuuuuuuuuub', 'hhhhhhhhhhhhhhhhhhhhhh', 'glagg', 'ya3meél', 'walh']"
mèla chkou èli bèch yfoklék l milieu ziyèd zièdi,0,9,"['mèla', 'chkou', 'èli', 'bèch', 'yfoklék', 'l', 'milieu', 'ziyèd', 'zièdi']"
mashaellah rabi yahafdo,1,3,"['mashaellah', 'rabi', 'yahafdo']"
bravo djabo et multo ragazie si slim,1,7,"['bravo', 'djabo', 'et', 'multo', 'ragazie', 'si', 'slim']"
kol 3am weta b5ir,1,4,"['kol', '3am', 'weta', 'b5ir']"
saybou rajel bayn ndhif wela stanstou bsra9,0,7,"['saybou', 'rajel', 'bayn', 'ndhif', 'wela', 'stanstou', 'bsra9']"
a5let 3lih,1,2,"['a5let', '3lih']"
ya3tiek saha ya m3alma rabi m3ak,1,6,"['ya3tiek', 'saha', 'ya', 'm3alma', 'rabi', 'm3ak']"
snin dayma incha allah,1,4,"['snin', 'dayma', 'incha', 'allah']"
slouma kol 3am wenti 7ay b1000 5ir ya m3allem,1,9,"['slouma', 'kol', '3am', 'wenti', '7ay', 'b1000', '5ir', 'ya', 'm3allem']"
les kamikazes l7arb ndirou zadmine mil3asma raf3ine drapeau,1,8,"['les', 'kamikazes', 'l7arb', 'ndirou', 'zadmine', 'mil3asma', 'raf3ine', 'drapeau']"
enchala slim riahi ygeh nhar ywali raeyes,1,7,"['enchala', 'slim', 'riahi', 'ygeh', 'nhar', 'ywali', 'raeyes']"
nchallah tekssou rwe7kom 9bel ti hakom fi 78ala,0,8,"['nchallah', 'tekssou', 'rwe7kom', '9bel', 'ti', 'hakom', 'fi', '78ala']"
enchlh rabi m3ah w kahaw,1,5,"['enchlh', 'rabi', 'm3ah', 'w', 'kahaw']"
louled win ken m5obbi hedha mouch nrmlll y zebbiii,1,9,"['louled', 'win', 'ken', 'm5obbi', 'hedha', 'mouch', 'nrmlll', 'y', 'zebbiii']"
b1 w stad kifech fih,1,5,"['b1', 'w', 'stad', 'kifech', 'fih']"
hhhhh w9a3na fel fa5 hhh,0,5,"['hhhhh', 'w9a3na', 'fel', 'fa5', 'hhh']"
bravo ya moncef,1,3,"['bravo', 'ya', 'moncef']"
nchallah lebes,1,2,"['nchallah', 'lebes']"
kolna maaa riahi nokrjo ta jomhour el ghalia,1,8,"['kolna', 'maaa', 'riahi', 'nokrjo', 'ta', 'jomhour', 'el', 'ghalia']"
far5 chkon,0,2,"['far5', 'chkon']"
9bal may hel houa jaleghtou el malha msaker,0,8,"['9bal', 'may', 'hel', 'houa', 'jaleghtou', 'el', 'malha', 'msaker']"
mala mridh hhhhh,0,3,"['mala', 'mridh', 'hhhhh']"
far5 miboun,0,2,"['far5', 'miboun']"
bonne continuation slim,1,3,"['bonne', 'continuation', 'slim']"
la hixma la hya,0,4,"['la', 'hixma', 'la', 'hya']"
ya3tik nam,0,2,"['ya3tik', 'nam']"
8neyet virage moch hip hop,1,5,"['8neyet', 'virage', 'moch', 'hip', 'hop']"
fucckk fucckk fucckk fucck fuckkk,0,5,"['fucckk', 'fucckk', 'fucckk', 'fucck', 'fuckkk']"
ouiii je confirme tayara,1,4,"['ouiii', 'je', 'confirme', 'tayara']"
9wey barcha walah wahdek ya king,1,6,"['9wey', 'barcha', 'walah', 'wahdek', 'ya', 'king']"
copie conforme rabi ytawel fi 3morha,1,6,"['copie', 'conforme', 'rabi', 'ytawel', 'fi', '3morha']"
bravo les gas,1,3,"['bravo', 'les', 'gas']"
farda w l9at o5thaa hhhhhhhhhh,1,5,"['farda', 'w', 'l9at', 'o5thaa', 'hhhhhhhhhh']"
slt cv bella a3meli pup,1,5,"['slt', 'cv', 'bella', 'a3meli', 'pup']"
slim fara5 chkoun,0,3,"['slim', 'fara5', 'chkoun']"
enti fare5 chkoun v,0,4,"['enti', 'fare5', 'chkoun', 'v']"
slim ya m3lem,1,3,"['slim', 'ya', 'm3lem']"
enchala marbou7a l c a w u l,1,8,"['enchala', 'marbou7a', 'l', 'c', 'a', 'w', 'u', 'l']"
klay brabi 7ashti bik urgent,1,5,"['klay', 'brabi', '7ashti', 'bik', 'urgent']"
a3melou signiale,0,2,"['a3melou', 'signiale']"
inna lelehi wena ilyhi raji3oune,1,5,"['inna', 'lelehi', 'wena', 'ilyhi', 'raji3oune']"
marzan zokahh,0,2,"['marzan', 'zokahh']"
lasta kad el maasoulia degage,0,5,"['lasta', 'kad', 'el', 'maasoulia', 'degage']"
mala 8ounaia tai7ete 3ala 8ouneite mazatile mte3e kafon,0,8,"['mala', '8ounaia', 'tai7ete', '3ala', '8ouneite', 'mazatile', 'mte3e', 'kafon']"
ya3tik saha khoya,1,3,"['ya3tik', 'saha', 'khoya']"
mabrouk winchalah rabi m3ak,1,4,"['mabrouk', 'winchalah', 'rabi', 'm3ak']"
werilna che3rek,1,2,"['werilna', 'che3rek']"
kol am w inti bkir,1,5,"['kol', 'am', 'w', 'inti', 'bkir']"
salm 3laykm,1,2,"['salm', '3laykm']"
ou bennesba li el efri9i makech rajel,0,7,"['ou', 'bennesba', 'li', 'el', 'efri9i', 'makech', 'rajel']"
5alijia wahmia,0,2,"['5alijia', 'wahmia']"
fthaaaaay777 yaa7beeni 3amloooo il3aaaar,0,4,"['fthaaaaay777', 'yaa7beeni', '3amloooo', 'il3aaaar']"
a7la diss like,0,3,"['a7la', 'diss', 'like']"
b6oula matraw7 kan il bab jdid,1,6,"['b6oula', 'matraw7', 'kan', 'il', 'bab', 'jdid']"
bittawfi9 inchallah,1,2,"['bittawfi9', 'inchallah']"
ma3ndha 7ta ma3na,0,3,"['ma3ndha', '7ta', 'ma3na']"
alah yarhamou wa ina lilahi wa ilayhi raji3oun,1,8,"['alah', 'yarhamou', 'wa', 'ina', 'lilahi', 'wa', 'ilayhi', 'raji3oun']"
j aime ca wahdik ya si slim,1,7,"['j', 'aime', 'ca', 'wahdik', 'ya', 'si', 'slim']"
bonjour d,1,2,"['bonjour', 'd']"
wahda go3ra liflous liraditha marroura,0,5,"['wahda', 'go3ra', 'liflous', 'liraditha', 'marroura']"
brvou wlah,1,2,"['brvou', 'wlah']"
nchallah rabbi ynajhik wrabbi maak,1,5,"['nchallah', 'rabbi', 'ynajhik', 'wrabbi', 'maak']"
maryem l9ahba fibelha ro7eha mizyena niheyet l3alem douzi nikomik,0,9,"['maryem', 'l9ahba', 'fibelha', 'ro7eha', 'mizyena', 'niheyet', 'l3alem', 'douzi', 'nikomik']"
khawa khawa,1,2,"['khawa', 'khawa']"
m7asin dima ychaya5na,1,3,"['m7asin', 'dima', 'ychaya5na']"
hhhhhh merci si slim 3le t7inek,1,6,"['hhhhhh', 'merci', 'si', 'slim', '3le', 't7inek']"
cha3eb fey9elkoum menghir ta7ayoul ou kressi,0,6,"['cha3eb', 'fey9elkoum', 'menghir', 'ta7ayoul', 'ou', 'kressi']"
kolna m3a montasar louhichi,1,4,"['kolna', 'm3a', 'montasar', 'louhichi']"
alhirbaoui hadyat slim riahi lijomhor al5alia,1,6,"['alhirbaoui', 'hadyat', 'slim', 'riahi', 'lijomhor', 'al5alia']"
emsa7 biha,0,2,"['emsa7', 'biha']"
rabi m3ak si slim ta7ia ca,1,6,"['rabi', 'm3ak', 'si', 'slim', 'ta7ia', 'ca']"
hhhhhhwanta mounafakkifhomzada,0,2,"['hhhhhhwanta', 'mounafakkifhomzada']"
tkoul sa7a7 w howa mesa7a7ch yezina mel7keyet hedhom fadina,0,9,"['tkoul', 'sa7a7', 'w', 'howa', 'mesa7a7ch', 'yezina', 'mel7keyet', 'hedhom', 'fadina']"
edawedi kif kif yelzem yemchi,0,5,"['edawedi', 'kif', 'kif', 'yelzem', 'yemchi']"
nchallah mabrouk 3lina elkol,1,4,"['nchallah', 'mabrouk', '3lina', 'elkol']"
sa7a tendance,1,2,"['sa7a', 'tendance']"
maranich faham kifach fakou bik,1,5,"['maranich', 'faham', 'kifach', 'fakou', 'bik']"
mahlak nathoul,1,2,"['mahlak', 'nathoul']"
rabi maak 5 5,1,4,"['rabi', 'maak', '5', '5']"
raby m3ak sami,1,3,"['raby', 'm3ak', 'sami']"
bravo bendirman bravo fahmi,1,4,"['bravo', 'bendirman', 'bravo', 'fahmi']"
moments forts sans cmtr,1,4,"['moments', 'forts', 'sans', 'cmtr']"
bravo marzou9i ca rassure,1,4,"['bravo', 'marzou9i', 'ca', 'rassure']"
brabi slim rye7i far5 chkoun,0,5,"['brabi', 'slim', 'rye7i', 'far5', 'chkoun']"
9lt lihtiram tfooooo so9kom fiha hta 100000 machrlkomch,0,8,"['9lt', 'lihtiram', 'tfooooo', 'so9kom', 'fiha', 'hta', '100000', 'machrlkomch']"
mala la7as aka kacem,0,4,"['mala', 'la7as', 'aka', 'kacem']"
bayna kbira w jayha,0,4,"['bayna', 'kbira', 'w', 'jayha']"
inchallah rabbi yechfih,1,3,"['inchallah', 'rabbi', 'yechfih']"
slouma daymàn sa7ib wajib bravo,1,5,"['slouma', 'daymàn', 'sa7ib', 'wajib', 'bravo']"
bara naik bel kbir,0,4,"['bara', 'naik', 'bel', 'kbir']"
sa7a ya jen,1,3,"['sa7a', 'ya', 'jen']"
zabouromkom 3awra fedine efff 97ab w johal,0,7,"['zabouromkom', '3awra', 'fedine', 'efff', '97ab', 'w', 'johal']"
allah yara7mak ya zgaw,1,4,"['allah', 'yara7mak', 'ya', 'zgaw']"
atemna ate7sel 3ele telifonk,1,4,"['atemna', 'ate7sel', '3ele', 'telifonk']"
bravo yaatikom essaha,1,3,"['bravo', 'yaatikom', 'essaha']"
slim ya m3alem en plus c a dewlaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,8,"['slim', 'ya', 'm3alem', 'en', 'plus', 'c', 'a', 'dewlaaaaaaaaaaaaaaaaaaaaaaaaaaa']"
7asbona allah w na3ma wakel,1,5,"['7asbona', 'allah', 'w', 'na3ma', 'wakel']"
rabi ysahel 3lik w jens mawloud walad,1,7,"['rabi', 'ysahel', '3lik', 'w', 'jens', 'mawloud', 'walad']"
